NIS5,TX_DESCR_NL_x,TX_ADM_DSTR_DESCR_NL,PROVINCE,REGION,year,week,CASES,cvacc,CD_REFNIS,POPULATION,GRI,CHI,SI,ESI,c1,c2,c3,c4,c5,c6,c7,c8,e1,e2,e3,e4,h1,h2,h3,h4,h5,h6,h7,h8,month,vacc_pct,date
11005.0,Boom,Arrondissement Antwerpen,Antwerpen,Flanders,2020,42,61.0,0.0,11005,18555,50.52,52.38,47.21999999999999,37.5,33.333333333333336,66.66666666666667,50.0,100.0,0.0,0.0,0.0,75.0,25.0,50.0,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-12
11005.0,Boom,Arrondissement Antwerpen,Antwerpen,Flanders,2020,43,91.0,0.0,11005,18555,58.037142857142854,57.14,54.63,64.28571428571429,33.333333333333336,66.66666666666667,50.0,100.0,0.0,66.66666666666667,0.0,75.0,57.142857142857146,71.42857142857143,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-19
11005.0,Boom,Arrondissement Antwerpen,Antwerpen,Flanders,2020,44,119.0,0.0,11005,18555,63.68857142857143,58.5,56.74428571428571,100.0,52.38095238095239,66.66666666666667,50.0,100.0,0.0,66.66666666666667,0.0,75.0,100.0,100.0,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-26
11007.0,Borsbeek,Arrondissement Antwerpen,Antwerpen,Flanders,2020,41,22.0,0.0,11007,10949,53.20285714285715,52.38,47.21999999999999,58.92857142857143,33.333333333333336,66.66666666666667,50.0,100.0,0.0,0.0,0.0,75.0,67.85714285714286,50.0,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-05
11007.0,Borsbeek,Arrondissement Antwerpen,Antwerpen,Flanders,2020,42,35.0,0.0,11007,10949,50.52,52.38,47.21999999999999,37.5,33.333333333333336,66.66666666666667,50.0,100.0,0.0,0.0,0.0,75.0,25.0,50.0,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-12
11007.0,Borsbeek,Arrondissement Antwerpen,Antwerpen,Flanders,2020,43,46.0,0.0,11007,10949,58.037142857142854,57.14,54.63,64.28571428571429,33.333333333333336,66.66666666666667,50.0,100.0,0.0,66.66666666666667,0.0,75.0,57.142857142857146,71.42857142857143,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-19
11007.0,Borsbeek,Arrondissement Antwerpen,Antwerpen,Flanders,2020,44,59.0,0.0,11007,10949,63.68857142857143,58.5,56.74428571428571,100.0,52.38095238095239,66.66666666666667,50.0,100.0,0.0,66.66666666666667,0.0,75.0,100.0,100.0,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-26
11008.0,Brasschaat,Arrondissement Antwerpen,Antwerpen,Flanders,2020,41,60.0,0.0,11008,38223,53.20285714285715,52.38,47.21999999999999,58.92857142857143,33.333333333333336,66.66666666666667,50.0,100.0,0.0,0.0,0.0,75.0,67.85714285714286,50.0,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-05
11008.0,Brasschaat,Arrondissement Antwerpen,Antwerpen,Flanders,2020,42,95.0,0.0,11008,38223,50.52,52.38,47.21999999999999,37.5,33.333333333333336,66.66666666666667,50.0,100.0,0.0,0.0,0.0,75.0,25.0,50.0,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-12
11008.0,Brasschaat,Arrondissement Antwerpen,Antwerpen,Flanders,2020,43,131.0,0.0,11008,38223,58.037142857142854,57.14,54.63,64.28571428571429,33.333333333333336,66.66666666666667,50.0,100.0,0.0,66.66666666666667,0.0,75.0,57.142857142857146,71.42857142857143,0.0,0.0,100.0,66.66666666666667,100.0,0.0,0.0,75.0,0.0,66.66666666666667,10,0.0,2020-10-19
